"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.521180292E0,4.797523499E-1,1.010698242E0,9.791887665E0,9.855594213E0
1.531179292E0,4.011657715E-1,1.070573730E0,9.984836426E0,1.005007565E1
1.541178292E0,3.707789612E-1,1.093775482E0,1.005399261E1,1.012010817E1
1.551178292E0,4.421804810E-1,1.086740112E0,1.001716919E1,1.008564357E1
1.561177292E0,5.632786560E-1,1.100062408E0,9.910441132E0,9.987204993E0
1.571177292E0,6.277944946E-1,1.099613342E0,9.831555176E0,9.912757064E0
1.581176292E0,6.625222778E-1,1.096619568E0,9.735305328E0,9.819250485E0
1.591175292E0,6.571334839E-1,1.054557037E0,9.576784973E0,9.657055731E0
1.601175292E0,6.135740662E-1,1.110390930E0,9.593101044E0,9.676622799E0
1.611174292E0,5.474116516E-1,1.197509766E0,9.636510773E0,9.726048994E0
1.621173292E0,4.722679138E-1,1.207239532E0,9.655670929E0,9.742301851E0
1.631173292E0,4.284091187E-1,1.201102295E0,9.694889374E0,9.778397674E0
1.641172292E0,4.352947998E-1,1.181193695E0,9.640402679E0,9.722245827E0
1.651172292E0,4.640350342E-1,1.118923187E0,9.626631317E0,9.702543384E0
1.661171292E0,5.034031677E-1,1.064286804E0,9.677525482E0,9.748877915E0
1.671170292E0,5.098397827E-1,1.078058167E0,9.653275909E0,9.726658306E0
1.681170292E0,5.054988098E-1,1.038690033E0,9.732760620E0,9.801073172E0
1.691169292E0,4.587959290E-1,9.993218994E-1,9.761800232E0,9.823537129E0
1.701169292E0,4.040098572E-1,1.007105713E0,9.731712799E0,9.792023278E0
1.711168292E0,3.299139404E-1,9.807604980E-1,9.730215912E0,9.785082322E0
1.721167292E0,2.724334717E-1,9.716294861E-1,9.754315796E0,9.806373463E0
1.731167292E0,2.112107849E-1,9.693841553E-1,9.784852295E0,9.835021610E0
1.741166167E0,1.739382935E-1,9.695338440E-1,9.918224945E0,9.967017431E0
1.751165167E0,1.651066589E-1,9.401948547E-1,9.865684204E0,9.911758239E0
1.761165167E0,2.252815247E-1,8.756790161E-1,9.838291168E0,9.879753975E0
1.771164167E0,2.905458069E-1,8.590635681E-1,9.845176849E0,9.886855631E0
1.781164167E0,3.526666260E-1,8.538244629E-1,9.840835876E0,9.884100400E0
1.791163167E0,3.975732422E-1,9.237290955E-1,9.813592529E0,9.864985467E0
1.801162167E0,3.773652649E-1,9.988728333E-1,9.834548950E0,9.892345755E0
1.811162167E0,3.339555359E-1,1.015937347E0,9.850415955E0,9.908297002E0
1.821161167E0,2.929408264E-1,1.005908203E0,9.852062531E0,9.907613322E0
1.831160167E0,2.942880249E-1,1.015488281E0,9.935289459E0,9.991386217E0
1.841160167E0,2.336640930E-1,1.016985168E0,9.987830200E0,1.004219149E1
1.851159167E0,2.255809021E-1,9.277706909E-1,1.003034180E1,1.007568369E1
1.861159167E0,2.890489197E-1,8.976832581E-1,9.948162689E0,9.992763652E0
1.871158167E0,3.586541748E-1,8.869056702E-1,9.858948212E0,9.905255894E0
1.881157167E0,3.652404785E-1,8.660989380E-1,9.754166107E0,9.799351225E0
1.891157167E0,3.728746033E-1,8.750802612E-1,9.787995758E0,9.834107071E0
1.901156167E0,3.754193115E-1,9.283694458E-1,9.815538483E0,9.866489000E0
1.911156167E0,4.656816101E-1,8.830137634E-1,9.839039612E0,9.889553739E0
1.921155167E0,5.541476440E-1,8.330177307E-1,9.900561676E0,9.950985863E0
1.931154167E0,5.233117676E-1,9.107061768E-1,9.879305878E0,9.934984931E0
1.941154167E0,4.677772522E-1,9.142987061E-1,9.887987823E0,9.941180055E0
1.951153167E0,4.225712585E-1,8.556207275E-1,9.859546967E0,9.905620611E0
1.961152167E0,3.769161987E-1,8.080197144E-1,9.836045837E0,9.876373798E0
1.971152167E0,3.528163147E-1,7.777825928E-1,9.819430389E0,9.856502335E0
1.981151167E0,3.357518005E-1,7.249424744E-1,9.757608948E0,9.790260632E0
1.991151167E0,3.591032410E-1,6.976991272E-1,9.716893616E0,9.748526081E0
2.001150167E0,4.234693909E-1,6.825805664E-1,9.666598206E0,9.699915640E0
2.011149167E0,5.258564758E-1,6.110293579E-1,9.743388519E0,9.776681530E0
2.021149167E0,5.971083069E-1,6.409671021E-1,9.748328247E0,9.787608532E0
2.031148167E0,6.230044556E-1,7.444020081E-1,9.882149963E0,9.929710811E0
2.041147167E0,6.086343384E-1,7.508386230E-1,9.898316345E0,9.945393952E0
2.051147167E0,5.836363220E-1,7.131170654E-1,9.841734009E0,9.884781009E0
2.061146167E0,5.547463989E-1,7.375163269E-1,9.840686188E0,9.883864555E0
2.071146167E0,5.005590820E-1,7.644602966E-1,9.841584320E0,9.883913237E0
2.081145167E0,4.231700134E-1,7.726931763E-1,9.842183075E0,9.881533043E0
2.091144167E0,4.263134766E-1,8.283773804E-1,9.835896149E0,9.879919297E0
2.101144167E0,4.908293152E-1,8.619076538E-1,9.833351440E0,9.883248392E0
2.111143167E0,5.414241028E-1,8.330177307E-1,9.788594513E0,9.838884141E0
2.121143167E0,5.745053101E-1,8.129594421E-1,9.845775604E0,9.895971739E0
2.131142167E0,5.884263611E-1,8.659492493E-1,9.799222412E0,9.854992317E0
2.141141167E0,5.992039490E-1,8.876541138E-1,9.823022919E0,9.881232436E0
2.151141167E0,5.463638306E-1,8.810678101E-1,9.870025177E0,9.924323197E0
2.161140167E0,4.956193542E-1,8.915460205E-1,9.911339264E0,9.963691026E0
2.171139167E0,5.376818848E-1,8.779243469E-1,9.915231171E0,9.968533600E0
2.181139167E0,5.716612244E-1,8.666976929E-1,9.832453308E0,9.887117856E0
2.191138167E0,5.767506409E-1,8.526269531E-1,9.803264008E0,9.857159795E0
2.201138167E0,5.833369446E-1,8.527766418E-1,9.827663269E0,9.881825506E0
2.211137167E0,5.933660889E-1,9.193881226E-1,9.827214203E0,9.887947048E0
2.221136167E0,6.442602539E-1,9.355545044E-1,9.855505371E0,9.920751969E0
2.231136167E0,6.795867920E-1,9.632469177E-1,9.791737976E0,9.862444698E0
2.241135167E0,6.659651184E-1,9.854008484E-1,9.867031403E0,9.938452247E0
2.251135167E0,6.303392029E-1,9.831555176E-1,9.881102142E0,9.949879488E0
2.261134167E0,5.571414185E-1,9.485774231E-1,9.849517822E0,9.910762182E0
2.271133167E0,5.035528564E-1,9.125024414E-1,9.811197510E0,9.866398672E0
2.281133167E0,5.188211060E-1,8.710386658E-1,9.766290894E0,9.818773931E0
2.291132167E0,5.727090454E-1,8.512797546E-1,9.787546692E0,9.841175901E0
2.301131167E0,6.168672180E-1,8.408015442E-1,9.909243622E0,9.963964149E0
2.311131167E0,6.539900208E-1,8.671467590E-1,1.004366409E1,1.010221930E1
2.321130167E0,6.932084656E-1,9.051676941E-1,1.002555176E1,1.009017119E1
2.331130167E0,7.656578064E-1,9.295669556E-1,9.929601288E0,1.000236514E1
2.341129167E0,7.717950439E-1,9.648934937E-1,9.882149963E0,9.959095087E0
2.351128167E0,6.881190491E-1,1.001267853E0,9.806108093E0,9.881082991E0
2.361128167E0,5.376818848E-1,1.013392639E0,9.831854553E0,9.898556986E0
2.371127167E0,4.176315308E-1,9.898915100E-1,9.834399261E0,9.892912116E0
2.381127167E0,3.960763550E-1,9.413923645E-1,9.795031128E0,9.848133369E0
2.391126167E0,4.308041382E-1,8.991801453E-1,9.812694397E0,9.863218971E0
2.401125167E0,4.813989258E-1,8.873547363E-1,9.826166382E0,9.877888900E0
2.411125167E0,5.105882263E-1,8.794212341E-1,9.871821442E0,9.924058677E0
2.421124167E0,5.255570984E-1,8.888516235E-1,9.945019226E0,9.998483629E0
2.431123167E0,4.932243347E-1,8.948391724E-1,9.966275024E0,1.001851512E1
2.441123167E0,4.429289246E-1,8.593629456E-1,9.933942261E0,9.980876692E0
2.451122167E0,3.962260437E-1,8.279283142E-1,9.900711365E0,9.943165789E0
2.461122167E0,3.841012573E-1,7.899073792E-1,9.855505371E0,9.894567882E0
2.471121167E0,4.426295471E-1,7.364685059E-1,9.807305603E0,9.844874299E0
2.481120167E0,4.941224670E-1,7.214996338E-1,9.724228363E0,9.763469465E0
2.491120167E0,5.285508728E-1,7.825726318E-1,9.705666962E0,9.751500250E0
2.501119167E0,5.547463989E-1,8.098159790E-1,9.739496613E0,9.788837508E0
2.511119167E0,5.405259705E-1,8.077203369E-1,9.800419922E0,9.848492835E0
2.521118167E0,4.849914551E-1,8.378077698E-1,9.871671753E0,9.919024235E0
2.531117167E0,4.349954224E-1,8.776249695E-1,9.937085724E0,9.985245079E0
