"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.121220396E1,-4.237687683E-1,6.812333679E-1,9.812395020E0
2.131190896E1,-4.095483398E-1,7.072792053E-1,9.849218445E0
2.141161396E1,-4.245172119E-1,7.276368713E-1,9.816137238E0
2.151131883E1,-4.252656555E-1,6.420149231E-1,9.801617432E0
2.161102383E1,-4.195774841E-1,6.071374512E-1,9.763895874E0
2.171072883E1,-4.108955383E-1,6.036946106E-1,9.786199493E0
2.181043383E1,-4.348457336E-1,6.137237549E-1,9.817933502E0
2.191013783E1,-4.025129700E-1,6.024971008E-1,9.818083191E0
2.200984283E1,-4.164340210E-1,5.917195129E-1,9.824220428E0
2.210954783E1,-3.993695068E-1,5.566923523E-1,9.809101868E0
2.220925283E1,-4.234693909E-1,5.402265930E-1,9.833501129E0
2.230895783E1,-4.061054993E-1,5.971083069E-1,9.821526031E0
2.240866183E1,-4.080514526E-1,6.177653503E-1,9.814790039E0
2.250836646E1,-3.784130859E-1,6.141728210E-1,9.781259766E0
2.260807146E1,-4.249662781E-1,5.972579956E-1,9.812095642E0
2.270777646E1,-3.911366272E-1,5.974076843E-1,9.814939728E0
2.280748146E1,-4.314028931E-1,5.996530151E-1,9.818232880E0
2.290718546E1,-4.059558105E-1,6.035449219E-1,9.823172607E0
2.300689046E1,-4.183799744E-1,6.129753113E-1,9.804910583E0
2.310659546E1,-4.219725037E-1,6.240522766E-1,9.803862762E0
2.320629946E1,-4.337979126E-1,6.042933655E-1,9.798324280E0
2.330600446E1,-4.037104797E-1,6.456074524E-1,9.805060272E0
2.340570946E1,-4.408332825E-1,6.703060913E-1,9.804461517E0
2.350541521E1,-4.090992737E-1,6.954537964E-1,9.802216187E0
2.360511921E1,-3.966751099E-1,6.629713440E-1,9.808802490E0
2.370482421E1,-4.064048767E-1,6.279441833E-1,9.818232880E0
2.380452921E1,-4.080514526E-1,6.189628601E-1,9.822274475E0
2.390423321E1,-3.923341370E-1,6.360273743E-1,9.816735992E0
2.400393821E1,-3.984713745E-1,6.023474121E-1,9.811945953E0
2.410364221E1,-3.912863159E-1,6.033952332E-1,9.807455292E0
2.420334721E1,-4.165837097E-1,5.956114197E-1,9.829908600E0
2.430305221E1,-4.305047607E-1,5.978567505E-1,9.826316071E0
2.440275621E1,-3.978726196E-1,5.956114197E-1,9.816286926E0
2.450246108E1,-3.832031250E-1,5.882766724E-1,9.790390778E0
2.460216608E1,-4.064048767E-1,5.903723145E-1,9.778415680E0
2.470187008E1,-4.111949158E-1,6.071374512E-1,9.812095642E0
2.480157508E1,-4.004173279E-1,6.095324707E-1,9.807006226E0
2.490127908E1,-4.137396240E-1,5.993536377E-1,9.811047821E0
2.500098408E1,-4.049079895E-1,6.072871399E-1,9.820777588E0
2.510068808E1,-3.936813354E-1,6.120771790E-1,9.834548950E0
2.520039308E1,-3.941304016E-1,6.207591248E-1,9.812544708E0
2.530009808E1,-3.893403625E-1,6.123765564E-1,9.799671478E0
2.539980208E1,-3.965254211E-1,6.337820435E-1,9.819580078E0
2.549950733E1,-4.134402466E-1,6.400689697E-1,9.807604980E0
2.559921133E1,-3.965254211E-1,6.258485413E-1,9.791737976E0
2.569891633E1,-4.074526978E-1,6.230044556E-1,9.818981323E0
2.579862033E1,-3.978726196E-1,6.234535217E-1,9.806557159E0
2.589832533E1,-4.222718811E-1,6.155200195E-1,9.851912842E0
2.599802933E1,-4.096980286E-1,6.045927429E-1,9.827962646E0
