Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
108.9700203,-0.440982971,-0.10762619,9.802365875
108.9799823,-0.446820831,-0.113763428,9.757010193
108.9899443,-0.428858185,-0.116906891,9.72572525
108.9999063,-0.432151337,-0.131277008,9.684710541
109.0098673,-0.418080597,-0.11346405,9.661059723
109.0198293,-0.44113266,-0.099393311,9.673184509
109.0297903,-0.438587952,-0.081280975,9.657018127
109.0397523,-0.424068146,-0.059576111,9.638307037
109.0497143,-0.467028809,-0.064515839,9.656868439
109.0596763,-0.499211884,-0.039966888,9.638307037
109.0696373,-0.445174255,-0.036524048,9.580826569
109.0795993,-0.460143127,-0.047002258,9.570647736
109.0895603,-0.477656708,-0.036074982,9.599687347
109.0995223,-0.475710754,-0.044158173,9.631571045
109.1094843,-0.434546356,-0.053438873,9.613309021
109.1194453,-0.462089081,-0.071551208,9.601034546
109.1294073,-0.472267914,-0.086819458,9.574240265
109.1393693,-0.459244995,-0.089962921,9.586365051
109.1493303,-0.473764801,-0.103584595,9.555828552
109.1592923,-0.433049469,-0.097597046,9.532926178
109.1692543,-0.448467407,-0.080083466,9.525292053
109.1792153,-0.415835266,-0.066312103,9.521250458
109.1891773,-0.437839508,-0.054636383,9.578880615
109.1991393,-0.469723206,-0.035625916,9.617200928
109.2091003,-0.484841766,-0.040865021,9.638456726
109.2190623,-0.592467957,-0.081131287,9.680818634
109.2290243,-0.57690033,-0.07604187,9.632618866
109.2389853,-0.435444489,-0.046702881,9.548643494
109.2489473,-0.430355072,-0.067659302,9.569749603
109.2589093,-0.502954102,-0.077987823,9.64384552
109.2688703,-0.578696594,-0.091908875,9.762398987
109.2788323,-0.580193481,-0.086669769,9.852960663
109.2887943,-0.539627838,-0.078287201,9.921967163
109.2987553,-0.513432312,-0.070353699,9.895023193
109.3087173,-0.487087097,-0.070054321,9.882748718
109.3186793,-0.522713013,-0.064964905,9.818532257
109.3286403,-0.532592468,-0.08068222,9.798473969
109.3386023,-0.551752625,-0.097447357,9.844428406
109.3485643,-0.575403442,-0.105530548,9.867181091
