"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.308631283E1,-4.752616882E-1,-4.833448792E-1,9.839189301E0
1.318600483E1,-4.507127380E-1,-4.547543335E-1,9.863289185E0
1.328569533E1,-4.580474854E-1,-4.260140991E-1,9.859247589E0
1.338538733E1,-4.728666687E-1,-4.087998962E-1,9.805659027E0
1.348507833E1,-4.442761230E-1,-4.691244507E-1,9.784253540E0
1.358477033E1,-4.716691589E-1,-5.125341797E-1,9.783804474E0
1.368446233E1,-4.405339050E-1,-5.562432861E-1,9.848919067E0
1.378415333E1,-4.514611816E-1,-5.351371765E-1,9.864935760E0
1.388384533E1,-4.457730103E-1,-5.363346863E-1,9.860295410E0
1.398353733E1,-4.623884583E-1,-5.824388123E-1,9.815239105E0
1.408322833E1,-4.484674072E-1,-6.694079590E-1,9.801018677E0
1.418292033E1,-4.652325439E-1,-7.532336426E-1,9.793534241E0
1.428261092E1,-4.363426208E-1,-6.759942627E-1,9.847721558E0
1.438230292E1,-4.733157349E-1,-5.993536377E-1,9.858499146E0
1.448199492E1,-4.510121155E-1,-5.680686951E-1,9.849817200E0
1.458168592E1,-4.514611816E-1,-5.875282288E-1,9.836045837E0
1.468137792E1,-4.348457336E-1,-6.125262451E-1,9.820029144E0
1.478106892E1,-4.429289246E-1,-6.310876465E-1,9.819729767E0
1.488076092E1,-4.055067444E-1,-6.280938721E-1,9.837093658E0
1.498045292E1,-4.363426208E-1,-6.408174133E-1,9.836345215E0
1.508014392E1,-4.290078735E-1,-6.177653503E-1,9.841284943E0
1.517983592E1,-4.351451111E-1,-5.983058167E-1,9.849667511E0
1.527952779E1,-4.242178345E-1,-5.971083069E-1,9.837393036E0
1.537921979E1,-4.318519592E-1,-6.135740662E-1,9.827962646E0
1.547891079E1,-4.306544495E-1,-6.222560120E-1,9.818831635E0
1.557860279E1,-4.135899353E-1,-6.039939880E-1,9.835447083E0
1.567829379E1,-4.129911804E-1,-6.134243774E-1,9.826016693E0
1.577798579E1,-4.083508301E-1,-5.900729370E-1,9.840835876E0
1.587767779E1,-4.201762390E-1,-6.033952332E-1,9.820478210E0
1.597736879E1,-3.993695068E-1,-5.815406799E-1,9.823621674E0
1.607706079E1,-4.044589233E-1,-5.763015747E-1,9.853709106E0
1.617675179E1,-3.992198181E-1,-5.719606018E-1,9.832453308E0
1.627644379E1,-4.210743713E-1,-6.068380737E-1,9.828860779E0
1.637613379E1,-3.824546814E-1,-5.945635986E-1,9.865085449E0
1.647582579E1,-4.026626587E-1,-5.375321960E-1,9.883796539E0
1.657551679E1,-3.742218018E-1,-5.349874878E-1,9.862540741E0
1.667520879E1,-3.992198181E-1,-5.462141418E-1,9.860145721E0
1.677489979E1,-3.855981445E-1,-5.309458923E-1,9.857301636E0
1.687459179E1,-3.842509460E-1,-5.592370605E-1,9.831555176E0
1.697428279E1,-3.360511780E-1,-5.652246094E-1,9.872120819E0
1.707397479E1,-3.965254211E-1,-5.559439087E-1,9.818232880E0
1.717366579E1,-3.339555359E-1,-5.628295898E-1,9.826166382E0
1.735311092E1,-3.622467041E-1,-5.760021973E-1,9.839937744E0
1.745280192E1,-3.272195435E-1,-5.911207581E-1,9.853409729E0
1.755685592E1,-3.495231628E-1,-6.093827820E-1,9.824220428E0
1.765654692E1,-3.198847961E-1,-6.204597473E-1,9.834698639E0
1.775623892E1,-3.251239014E-1,-6.186634827E-1,9.803713074E0
1.785592992E1,-3.185375977E-1,-6.007008362E-1,9.842033386E0
1.795562192E1,-3.409909058E-1,-6.004014587E-1,9.843081207E0
1.805531292E1,-3.132984924E-1,-5.894741821E-1,9.843679962E0
1.815500392E1,-3.052153015E-1,-5.960604858E-1,9.843230896E0
1.825469592E1,-2.986289978E-1,-6.292913818E-1,9.849517822E0
1.835438779E1,-3.390449524E-1,-6.420149231E-1,9.832602997E0
1.845407979E1,-3.350033569E-1,-6.518943787E-1,9.843230896E0
1.855377079E1,-3.393443298E-1,-6.267466736E-1,9.829459534E0
1.865346279E1,-3.140469360E-1,-6.011499023E-1,9.857601013E0
1.875315379E1,-2.989283752E-1,-6.020480347E-1,9.892927551E0
1.885284579E1,-2.736309814E-1,-6.207591248E-1,9.873917084E0
1.895253679E1,-2.785707092E-1,-6.150709534E-1,9.830058289E0
1.905222879E1,-2.737806702E-1,-5.986051941E-1,9.831255798E0
1.915191979E1,-2.480342102E-1,-5.878276062E-1,9.824220428E0
1.925161079E1,-2.404000854E-1,-5.938151550E-1,9.814490662E0
1.935130217E1,-2.299218750E-1,-5.689668274E-1,9.857750702E0
1.945099317E1,-2.535726929E-1,-5.891748047E-1,9.851613464E0
1.955068517E1,-2.218386841E-1,-5.774990845E-1,9.825717316E0
1.965037617E1,-2.218386841E-1,-5.882766724E-1,9.773026886E0
1.975006817E1,-2.293231201E-1,-5.706134033E-1,9.817334747E0
1.984975917E1,-2.647993469E-1,-5.589376831E-1,9.837243347E0
1.994945117E1,-2.270777893E-1,-5.730084229E-1,9.861043854E0
2.004914217E1,-2.188449097E-1,-5.774990845E-1,9.836943970E0
2.014883317E1,-2.261796570E-1,-5.719606018E-1,9.900861053E0
2.024852517E1,-2.224374390E-1,-5.620811462E-1,9.840985565E0
2.034821617E1,-2.127076721E-1,-5.619314575E-1,9.861941986E0
2.044790817E1,-2.173480225E-1,-5.670208740E-1,9.852062531E0
2.054759917E1,-2.224374390E-1,-5.716612244E-1,9.834399261E0
2.064729017E1,-1.939965820E-1,-5.809419250E-1,9.837093658E0
2.074698217E1,-1.854643250E-1,-5.815406799E-1,9.841584320E0
2.084667317E1,-1.736389160E-1,-5.882766724E-1,9.826166382E0
2.094636517E1,-1.243913269E-1,-5.933660889E-1,9.802216187E0
2.104605617E1,-1.483415222E-1,-5.882766724E-1,9.807305603E0
2.114574817E1,-1.440005493E-1,-5.905220032E-1,9.844129028E0
2.124543917E1,-1.315763855E-1,-5.954617310E-1,9.884694672E0
2.134513079E1,-1.300794983E-1,-6.150709534E-1,9.913584595E0
